"MapID","LibSeries","Description","Status","MapPointIDs"
"m01","M","The World","Unknown",
"m06","M","The Holy Land in the Time of Jesus Christ","Working",
"m07","M","Jerusalem In New Testament Times","Working",
"m08","M","Paul’s Missionary Journeys","Working",
"m08a","M","Paul’s First Missionary Journey","Working",
"m08b","M","Paul’s Second Missionary Journey","Working",
"m08c","M","Paul’s Third Missionary Journey","Working",
"m08d","M","Paul’s Fourth Missionary Journey","Working",
"m09","M",,,
"m10","M","Seven Churches of Asia","Unknown",
"m21","M","The Exodus from Egypt","Unimplemented",
"m31","M","The Ancient World","Unimplemented",
"m41","M","Kingdoms of Israel and Judah","Unimplemented",
"m42","M","The Conquest of Canaan","Unimplemented",
,,,,
"t01","T","The Temple in the time of Christ","Working",
"t02","T","The Temple Buildings","Unimplemented",
