"MapPointData","Value","Note"
"Title-m08c_Main","Paul’s Third Missionary Journey",
"Ref-m08c_Title","Acts 18:26–21:16",
"City_Antioch-A","Antioch",
"City_Ephesus","Ephesus",
"City_Corinth","Corinth",
"City_Jerusalem","Jerusalem",
"City_Berea","Berea",
"City_Thessalonica","Thessalonica",
"City_Derbe","Derbe",
"City_Troas","Troas",
"City_Philippi","Philippi",
"City_Assos","Assos",
"City_Mytelene","Mytelene",
"City_Miletus","Miletus",
"City_Patara","Patara",
"City_Tyre","Tyre",
"City_Ptolemais","Ptolemais",
"City_Caesarea","Caesarea",
"Region_Achaia","ACHAIA",
"Region_Asia","ASIA",
"Region_Macedonia","MACEDONIA",
"Region_Syria","SYRIA",
"Region_Phoenicia","Phoenicia",
"Region_Judea","Judea",
"Region_Egypt","EGYPT",
"Region_Arabia","ARABIA",
"Region_Armenia","ARMENIA",
"Region_Galatia","GALATIA",
"Region_Bithynia","BITHYNIA",
"Region_Pontus","PONTUS",
"Region_Cappadocia","CAPPADOCIA",
"Region_Lycia","LYCIA",
"Region_Pamphylia","PAMPHYLIA",
"Region_Cilicia","CILICIA",
"Region_Pisidia","PISIDIA",
"Island_Chios","Chios",
"Island_Samos","Samos",
"Island_Cos","Cos",
"Island_Rhodes","Rhodes",
"Island_Cyprus","Cyprus",
"Island_Crete","Crete",
"Sea_Mediterranean","MEDITERRANEAN SEA",
"Scale_K_Number_A",0,
"Scale_K_Number_B",100,
"Scale_K_Number_C",200,
"Scale_K_Number_D",300,
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A",0,
"Scale_M_Number_B",50,
"Scale_M_Number_C",100,
"Scale_M_Number_D",150,
"Scale_M_DistanceKey","Miles",
